日付,始値,高値,安値,終値,出来高,売買代金
2014-12-30,1889.00,1889.00,1841.00,1841.00,2506300,4647853050
2014-12-29,1895.00,1896.00,1851.00,1882.00,2622700,4924589200
2014-12-26,1872.00,1881.00,1856.50,1879.50,1876700,3511484000
2014-12-25,1868.00,1879.50,1861.00,1871.50,1454700,2719521300
2014-12-24,1930.00,1939.50,1869.50,1876.00,3358300,6364001750
2014-12-22,1884.00,1899.00,1874.50,1883.00,4813100,9080345400
2014-12-19,1829.00,1869.50,1826.00,1861.00,7344100,13582115500
2014-12-18,1763.00,1807.50,1755.50,1783.00,5623900,10038911250
2014-12-17,1715.00,1759.00,1712.00,1729.50,5580300,9679931700
2014-12-16,1721.50,1731.50,1710.00,1720.50,4548500,7823376500
2014-12-15,1759.50,1782.00,1746.50,1750.50,3134800,5515650450
2014-12-12,1776.00,1817.00,1768.50,1793.50,6216300,11136016650
2014-12-11,1752.50,1791.00,1732.50,1787.00,4552000,8054424650
2014-12-10,1800.00,1812.50,1770.00,1788.50,7541900,13463750250
2014-12-09,1791.00,1799.50,1768.50,1775.00,3568000,6345996550
2014-12-08,1830.00,1845.50,1791.50,1803.50,4648900,8407904650
2014-12-05,1803.50,1831.00,1803.50,1830.00,3567800,6496897100
2014-12-04,1788.00,1816.00,1786.50,1813.00,7278100,13132998950
2014-12-03,1774.00,1796.50,1753.50,1758.50,4599200,8165203100
2014-12-02,1736.50,1775.50,1727.50,1772.00,3655300,6440241550
2014-12-01,1724.00,1746.00,1718.00,1744.00,4060200,7044080550
2014-11-28,1701.50,1722.00,1694.00,1721.50,3958300,6789446900
2014-11-27,1728.00,1729.50,1694.50,1694.50,3810500,6504751100
2014-11-26,1735.00,1751.50,1729.50,1740.00,3040900,5301540950
2014-11-25,1730.00,1747.00,1728.00,1747.00,5184100,9025345000
2014-11-21,1700.00,1704.50,1682.50,1703.50,3576500,6063170600
2014-11-20,1735.00,1738.50,1705.00,1707.00,3146800,5401099750
2014-11-19,1735.00,1739.50,1707.50,1711.50,3675800,6329406650
2014-11-18,1700.00,1718.00,1689.00,1717.50,5272200,8991714800
2014-11-17,1746.00,1749.50,1668.50,1671.00,7358600,12480557900
2014-11-14,1759.50,1760.00,1722.50,1755.00,5821200,10151694500
2014-11-13,1705.50,1755.00,1703.50,1746.50,6977000,12085366000
2014-11-12,1731.00,1756.00,1716.50,1723.50,6707800,11660331400
2014-11-11,1690.00,1733.50,1687.00,1715.50,5115600,8770648800
2014-11-10,1676.00,1688.00,1668.00,1686.00,2152400,3620522650
2014-11-07,1695.00,1699.00,1674.00,1688.50,4198400,7079639100
2014-11-06,1708.00,1709.00,1671.50,1677.00,6410300,10824930750
2014-11-05,1689.00,1714.50,1681.50,1712.00,7889300,13403154150
2014-11-04,1800.00,1807.00,1686.50,1689.00,12767500,22017706700
2014-10-31,1574.50,1660.00,1565.00,1650.00,12473400,20136813400
2014-10-30,1546.00,1552.50,1533.50,1552.50,8151100,12609783000
2014-10-29,1512.00,1546.00,1511.00,1537.00,5353200,8201153450
2014-10-28,1497.50,1507.50,1483.50,1497.50,3436100,5134999700
2014-10-27,1499.00,1510.00,1492.50,1504.00,3446000,5175196100
2014-10-24,1486.00,1492.50,1472.50,1480.50,4002600,5925575500
2014-10-23,1479.50,1484.50,1459.50,1470.50,4248400,6255136850
2014-10-22,1472.50,1487.00,1464.50,1478.00,4210200,6215744400
2014-10-21,1478.50,1480.00,1441.00,1448.50,3709200,5401021800
2014-10-20,1450.00,1481.50,1447.00,1469.50,6903800,10108283400
2014-10-17,1444.00,1453.50,1396.50,1412.50,10354000,14684270950
2014-10-16,1442.00,1459.50,1429.00,1448.50,6121500,8834658350
2014-10-15,1456.00,1475.50,1445.50,1471.00,5126400,7490040550
2014-10-14,1450.00,1468.00,1444.50,1452.00,7486300,10893123750
2014-10-10,1473.50,1495.00,1472.00,1484.50,5921500,8765494200
2014-10-09,1539.50,1540.50,1515.50,1518.00,4832300,7376249150
2014-10-08,1531.00,1549.00,1521.00,1540.00,6774100,10396178200
2014-10-07,1563.00,1598.00,1562.50,1569.00,5172300,8179548100
2014-10-06,1562.50,1569.00,1552.00,1555.00,4557000,7113252600
2014-10-03,1540.00,1556.50,1532.00,1544.50,5419000,8357565700
2014-10-02,1595.50,1596.00,1547.00,1548.50,6937900,10818641200
2014-10-01,1620.00,1625.50,1607.50,1609.00,3996800,6461818050
2014-09-30,1650.00,1650.00,1613.50,1628.00,4931500,8021060450
2014-09-29,1647.00,1656.00,1635.00,1642.00,4037900,6642487750
2014-09-26,1625.00,1636.00,1623.00,1629.50,4393600,7163992300
2014-09-25,1629.00,1668.50,1627.50,1650.50,6886600,11377757600
2014-09-24,1638.00,1645.00,1610.50,1616.50,5996900,9719966750
2014-09-22,1644.00,1677.00,1640.50,1653.00,4253200,7038027200
2014-09-19,1620.00,1663.50,1620.00,1656.50,7867200,12972036700
2014-09-18,1598.50,1622.50,1598.00,1614.50,6417400,10349671500
2014-09-17,1602.00,1612.00,1581.00,1582.00,4917400,7814038300
2014-09-16,1622.50,1622.50,1603.00,1607.00,4301000,6933679900
2014-09-12,1631.50,1638.00,1618.00,1629.50,6940900,11296139300
2014-09-11,1610.00,1647.50,1609.50,1631.50,6870800,11214952300
2014-09-10,1587.50,1600.00,1583.00,1598.00,4038400,6443818300
2014-09-09,1573.00,1599.50,1570.00,1588.50,5164200,8204017650
2014-09-08,1570.00,1573.00,1546.00,1556.00,3514700,5472292500
2014-09-05,1545.00,1570.00,1545.00,1560.00,6642400,10368426450
2014-09-04,1530.00,1550.00,1526.00,1546.00,5453000,8412271850
2014-09-03,1522.00,1547.50,1522.00,1531.50,6382000,9794272000
2014-09-02,1495.00,1522.50,1490.00,1512.00,5851500,8827196350
2014-09-01,1490.50,1494.50,1488.00,1494.00,2166500,3233121800
2014-08-29,1474.00,1495.00,1474.00,1490.50,6422300,9560761050
2014-08-28,1484.00,1493.50,1475.50,1489.50,3348500,4980699950
2014-08-27,1489.00,1497.50,1485.50,1497.00,4137600,6183317350
2014-08-26,1487.50,1491.00,1469.00,1475.50,3443100,5096762300
2014-08-25,1493.00,1498.00,1485.50,1491.50,3937000,5872375400
2014-08-22,1490.00,1497.00,1485.50,1489.00,7850800,11707809850
2014-08-21,1458.00,1473.50,1457.00,1470.50,4947900,7261035350
2014-08-20,1456.50,1457.00,1445.50,1450.00,3785100,5488082700
2014-08-19,1446.00,1459.00,1445.00,1451.50,3792700,5503560700
2014-08-18,1445.50,1446.50,1437.00,1443.50,2326700,3354094100
2014-08-15,1445.00,1447.00,1437.00,1440.00,2210900,3186364000
2014-08-14,1441.50,1448.50,1434.00,1438.00,3173700,4571725900
2014-08-13,1430.00,1441.00,1420.00,1439.00,3393700,4867381100
2014-08-12,1430.00,1433.00,1416.00,1429.00,3127400,4460252950
2014-08-11,1425.00,1430.00,1408.00,1426.50,4583300,6519877300
2014-08-08,1418.50,1422.00,1384.00,1387.00,6438100,8998440700
2014-08-07,1412.00,1430.00,1406.00,1428.00,4714500,6675547800
2014-08-06,1434.50,1439.50,1409.50,1420.00,5909500,8386063150
2014-08-05,1463.00,1464.00,1429.50,1432.50,5796100,8354054600
2014-08-04,1450.50,1461.50,1449.50,1455.50,4624900,6728522250
2014-08-01,1465.50,1468.50,1456.50,1459.50,6323400,9241874550
2014-07-31,1464.50,1475.00,1464.00,1473.00,12609800,18546151950
2014-07-30,1451.00,1457.00,1443.50,1454.50,5856500,8497534350
2014-07-29,1458.00,1461.50,1434.50,1447.50,5343800,7734471200
2014-07-28,1448.00,1459.00,1439.50,1456.50,8119400,11790399700
2014-07-25,1443.50,1460.00,1442.50,1457.00,18435400,26775395200
2014-07-24,1424.00,1443.00,1419.50,1440.00,57206600,81900355450
2014-07-23,1419.00,1436.00,1410.00,1424.00,21723700,31006711500
2014-07-22,1415.00,1424.00,1412.00,1416.00,7599800,10771939950
2014-07-18,1402.00,1415.00,1400.00,1413.00,9669100,13618546700
2014-07-17,1425.00,1430.00,1417.00,1426.00,10498900,14957694300
2014-07-16,1450.00,1460.00,1425.00,1426.00,30236900,43666899600
2014-07-15,1430.00,1454.00,1414.00,1445.00,19957000,28726808700
2014-07-14,1390.00,1428.00,1390.00,1421.00,11393900,16104183600
2014-07-11,1405.00,1406.00,1388.00,1398.00,8720500,12187817200
2014-07-10,1435.00,1444.00,1413.00,1428.00,6944700,9920099000
2014-07-09,1447.00,1454.00,1428.00,1440.00,6169800,8881655900
2014-07-08,1480.00,1482.00,1457.00,1469.00,3958400,5819796300
2014-07-07,1479.00,1496.00,1476.00,1492.00,3083600,4591527500
2014-07-04,1492.00,1507.00,1471.00,1479.00,6149200,9124271900
2014-07-03,1522.00,1534.00,1497.00,1502.00,4455400,6712923900
2014-07-02,1541.00,1544.00,1531.00,1537.00,2173100,3340542800
2014-07-01,1512.00,1535.00,1507.00,1529.00,3668200,5596890300
2014-06-30,1503.00,1512.00,1493.00,1509.00,3250100,4882297700
2014-06-27,1513.00,1513.00,1487.00,1494.00,4085000,6111270100
2014-06-26,1511.00,1515.00,1502.00,1505.00,3025400,4561954000
2014-06-25,1522.00,1526.00,1498.00,1499.00,3807900,5737540200
2014-06-24,1531.00,1541.00,1520.00,1535.00,2605600,3990486900
2014-06-23,1553.00,1557.00,1522.00,1529.00,3082300,4728408300
2014-06-20,1537.00,1552.00,1536.00,1543.00,3246700,5014659900
2014-06-19,1505.00,1538.00,1505.00,1534.00,3394300,5183858600
2014-06-18,1509.00,1510.00,1492.00,1503.00,4653300,6983650400
2014-06-17,1530.00,1538.00,1512.00,1514.00,3283900,4997010700
2014-06-16,1540.00,1554.00,1533.00,1539.00,3191900,4925753600
2014-06-13,1514.00,1545.00,1513.00,1536.00,4903100,7487568600
2014-06-12,1535.00,1544.00,1524.00,1542.00,3191400,4905948400
2014-06-11,1509.00,1535.00,1509.00,1535.00,3293900,5025872700
2014-06-10,1515.00,1523.00,1500.00,1505.00,2602800,3931326000
2014-06-09,1524.00,1527.00,1507.00,1511.00,2941400,4455228900
2014-06-06,1514.00,1525.00,1510.00,1519.00,4922700,7475036300
2014-06-05,1499.00,1535.00,1494.00,1500.00,5904700,8894119800
2014-06-04,1445.00,1516.00,1444.00,1499.00,11343600,16784644200
2014-06-03,1456.00,1458.00,1428.00,1447.00,9813700,14192470500
2014-06-02,1471.00,1488.00,1380.00,1433.00,24925100,35624900300
2014-05-30,1532.00,1534.00,1500.00,1508.00,4111500,6221216200
2014-05-29,1513.00,1533.00,1512.00,1525.00,1879000,2865508200
2014-05-28,1523.00,1536.00,1520.00,1527.00,3481300,5319284900
2014-05-27,1505.00,1526.00,1503.00,1508.00,2577900,3908323600
2014-05-26,1505.00,1510.00,1494.00,1507.00,2010800,3022550700
2014-05-23,1480.00,1501.00,1470.00,1495.00,2831400,4223695000
2014-05-22,1448.00,1484.00,1435.00,1477.00,2963800,4347810800
2014-05-21,1424.00,1448.00,1420.00,1436.00,2729300,3918940000
2014-05-20,1450.00,1457.00,1439.00,1440.00,3314700,4791926700
2014-05-19,1459.00,1461.00,1440.00,1442.00,2836800,4107750200
2014-05-16,1453.00,1487.00,1448.00,1467.00,3234500,4738314400
2014-05-15,1485.00,1490.00,1477.00,1483.00,3803600,5636733900
2014-05-14,1500.00,1505.00,1492.00,1505.00,1995200,2991780600
2014-05-13,1503.00,1514.00,1491.00,1500.00,2524100,3784643500
2014-05-12,1470.00,1482.00,1466.00,1468.00,2479100,3653708500
2014-05-09,1448.00,1475.00,1447.00,1467.00,2717700,3986015400
2014-05-08,1446.00,1475.00,1440.00,1459.00,3935200,5741441200
2014-05-07,1449.00,1476.00,1435.00,1438.00,5846700,8455404800
2014-05-02,1458.00,1467.00,1454.00,1461.00,3305700,4824744200
2014-05-01,1423.00,1457.00,1422.00,1454.00,2784500,4023656100
2014-04-30,1428.00,1438.00,1406.00,1414.00,3743100,5311529900
2014-04-28,1410.00,1426.00,1401.00,1410.00,3124900,4413215700
2014-04-25,1413.00,1448.00,1402.00,1439.00,3450000,4954478200
2014-04-24,1411.00,1442.00,1408.00,1420.00,3499300,4995159300
2014-04-23,1396.00,1417.00,1393.00,1408.00,3663100,5153707900
2014-04-22,1414.00,1415.00,1383.00,1383.00,3126600,4365343300
2014-04-21,1410.00,1420.00,1398.00,1404.00,2418600,3403923600
2014-04-18,1417.00,1417.00,1396.00,1409.00,2072300,2911432700
2014-04-17,1397.00,1419.00,1386.00,1401.00,3929800,5524835600
2014-04-16,1375.00,1409.00,1365.00,1407.00,3481200,4853429500
2014-04-15,1363.00,1370.00,1350.00,1355.00,2885300,3918678900
2014-04-14,1316.00,1368.00,1311.00,1342.00,3399600,4582377100
2014-04-11,1321.00,1339.00,1310.00,1331.00,6768500,8989546100
2014-04-10,1410.00,1411.00,1364.00,1369.00,4853000,6711596300
2014-04-09,1416.00,1418.00,1390.00,1396.00,7826000,10970165700
2014-04-08,1467.00,1468.00,1421.00,1425.00,7761400,11150849600
2014-04-07,1509.00,1516.00,1477.00,1485.00,4474400,6659903300
2014-04-04,1517.00,1550.00,1509.00,1542.00,3233400,4976210000
2014-04-03,1510.00,1540.00,1496.00,1523.00,4118600,6286870100
2014-04-02,1510.00,1538.00,1504.00,1507.00,4307100,6541061400
2014-04-01,1497.00,1523.00,1491.00,1512.00,3242900,4892158000
2014-03-31,1498.00,1506.00,1479.00,1500.00,4552900,6803957400
2014-03-28,1398.00,1462.00,1381.00,1462.00,5242900,7491908700
2014-03-27,1416.00,1417.00,1371.00,1405.00,5496900,7665450200
2014-03-26,1423.00,1452.00,1422.00,1448.00,3796900,5473625900
2014-03-25,1396.00,1424.00,1338.00,1415.00,8270400,11368449800
2014-03-24,1433.00,1442.00,1401.00,1414.00,3784900,5368204900
2014-03-20,1470.00,1472.00,1414.00,1428.00,4338600,6222277000
2014-03-19,1467.00,1489.00,1446.00,1462.00,2916800,4272905600
2014-03-18,1489.00,1515.00,1453.00,1455.00,3457900,5126415700
2014-03-17,1445.00,1456.00,1432.00,1454.00,3728000,5389836500
2014-03-14,1458.00,1465.00,1433.00,1449.00,7458600,10812950400
2014-03-13,1532.00,1535.00,1514.00,1514.00,3415000,5203412700
2014-03-12,1527.00,1534.00,1514.00,1522.00,3082000,4694213400
2014-03-11,1527.00,1561.00,1522.00,1555.00,4087200,6336576400
2014-03-10,1541.00,1558.00,1511.00,1517.00,4888200,7447020200
2014-03-07,1585.00,1585.00,1536.00,1551.00,3725100,5792275400
2014-03-06,1527.00,1565.00,1519.00,1556.00,4883900,7545030200
2014-03-05,1527.00,1543.00,1527.00,1534.00,3825100,5876186300
2014-03-04,1474.00,1514.00,1466.00,1505.00,4309300,6452273800
2014-03-03,1470.00,1483.00,1450.00,1480.00,4511800,6620955200
2014-02-28,1462.00,1486.00,1453.00,1484.00,4952700,7301329000
2014-02-27,1512.00,1517.00,1460.00,1471.00,5416500,7999724000
2014-02-26,1524.00,1538.00,1513.00,1516.00,2573300,3915124700
2014-02-25,1548.00,1557.00,1537.00,1546.00,2150200,3324839000
2014-02-24,1547.00,1571.00,1511.00,1534.00,3348700,5129194100
2014-02-21,1541.00,1563.00,1533.00,1552.00,3460400,5360865700
2014-02-20,1553.00,1558.00,1507.00,1513.00,3390900,5176546900
2014-02-19,1580.00,1581.00,1554.00,1567.00,2694600,4218547800
2014-02-18,1541.00,1583.00,1526.00,1579.00,4616900,7181932200
2014-02-17,1522.00,1553.00,1512.00,1532.00,3843700,5904576900
2014-02-14,1537.00,1605.00,1497.00,1527.00,10248900,15890139400
2014-02-13,1555.00,1557.00,1494.00,1510.00,4164200,6290501700
2014-02-12,1546.00,1558.00,1518.00,1533.00,5350500,8221954100
2014-02-10,1570.00,1576.00,1501.00,1516.00,3634100,5520787100
2014-02-07,1522.00,1534.00,1491.00,1533.00,5212800,7921245300
2014-02-06,1470.00,1481.00,1454.00,1463.00,3582100,5260778100
2014-02-05,1462.00,1483.00,1448.00,1458.00,7723600,11284607300
2014-02-04,1454.00,1466.00,1419.00,1420.00,8982500,12912781000
2014-02-03,1538.00,1566.00,1518.00,1524.00,3783200,5808672900
2014-01-31,1594.00,1598.00,1541.00,1559.00,4100400,6417497700
2014-01-30,1585.00,1603.00,1559.00,1569.00,5187000,8154128700
2014-01-29,1606.00,1642.00,1590.00,1639.00,4094700,6643878000
2014-01-28,1598.00,1604.00,1571.00,1571.00,7207900,11447840700
2014-01-27,1590.00,1597.00,1558.00,1558.00,9057100,14232766100
2014-01-24,1698.00,1700.00,1619.00,1650.00,7708900,12781583200
2014-01-23,1770.00,1774.00,1736.00,1738.00,5242900,9203276100
2014-01-22,1751.00,1768.00,1739.00,1759.00,3238300,5689258400
2014-01-21,1728.00,1781.00,1720.00,1762.00,4261600,7493419200
2014-01-20,1747.00,1747.00,1711.00,1728.00,3099900,5354703200
2014-01-17,1752.00,1757.00,1725.00,1730.00,4498800,7825726500
2014-01-16,1779.00,1800.00,1766.00,1777.00,3412500,6093719700
2014-01-15,1730.00,1769.00,1720.00,1769.00,4613300,8068178500
2014-01-14,1735.00,1735.00,1670.00,1695.00,6550300,11079237200
2014-01-10,1775.00,1780.00,1761.00,1769.00,3914200,6933898000
2014-01-09,1763.00,1787.00,1755.00,1782.00,4875800,8650841400
2014-01-08,1757.00,1764.00,1714.00,1762.00,4182800,7274510100
2014-01-07,1726.00,1765.00,1713.00,1744.00,4276500,7457603100
2014-01-06,1738.00,1757.00,1712.00,1736.00,3283600,5695615500
